,inventory,Original landslide inventory that this point was sourced from,,,,,,,,,,,,,,,,,,,,,,
,src_index,Index in the original inventory,,,,,,,,,,,,,,,,,,,,,,
,inventory_id,Landslide identifier from the original inventory,,,,,,,,,,,,,,,,,,,,,,
,inventory_id_name,Name of the field containing the identifier in the original inventory,,,,,,,,,,,,,,,,,,,,,,
,lsidx,Unique identifier in this compilation,,,,,,,,,,,,,,,,,,,,,,
,trigger,Landslide trigger (assigned based on information in original inventory),,,,,,,,,,,,,,,,,,,,,,
,type,Landslide type (assigned based on information in original inventory),,,,,,,,,,,,,,,,,,,,,,
,material,Landslide material (assigned based on information in original inventory),,,,,,,,,,,,,,,,,,,,,,
,spat_unc,Landslide spatial uncertainty (assigned based on information in original inventory),,,,,,,,,,,,,,,,,,,,,,
,ID_HDC_G0,Urban area identifier containing this landslide from GHS-UCDB,,,,,,,,,,,,,,,,,,,,,,
,UC_NM_MN,Main name of urban area containing this landslide from GHS-UCDB,,,,,,,,,,,,,,,,,,,,,,
,date_local_midnight_utc,"Midnight local time of the day the landslide occurred (first possible hour of landslide occurrence), converted to UTC",,,,,,,,,,,,,,,,,,,,,,
,precip_source,Original data source for the precipitation data for this landslide,,,,,,,,,,,,,,,,,,,,,,
,Gauge ID,Station identifier from the original precipitation data source associated with this landslide ,,,,,,,,,,,,,,,,,,,,,,
,station_dist,Distance from the station to the landslide (m),,,,,,,,,,,,,,,,,,,,,,
,tr_start,Time that rainfall event began (3 hour dry period to separate rainfall events) (UTC),,,,,,,,,,,,,,,,,,,,,,
,tr_tpk,Time of peak hourly rainfall intensity on the day of the landslide (UTC),,,,,,,,,,,,,,,,,,,,,,
,tr_htopk,Number of hours between beginning of the rainfall event (3 hour dry period) and peak intensity on the landslide day (h),,,,,,,,,,,,,,,,,,,,,,
,tr_cptopk,Cumulative precipitation between beginning of rainfall event (3 hour dry period) and peak intensity (mm),,,,,,,,,,,,,,,,,,,,,,
,tr_nnantopk,Number of no data (interpolated) hours between beginning of rainfall event (3 hour dry period) and peak intensity,,,,,,,,,,,,,,,,,,,,,,
,e_start,Time that rainfall event began (48 hour dry period to separate rainfall events) (UTC),,,,,,,,,,,,,,,,,,,,,,
,e_htopk,Number of hours between beginning of rainfall event (48 hour dry period) and peak intensity on the landslide day (h),,,,,,,,,,,,,,,,,,,,,,
,e_cptopk,Cumulative precipitation between beginning of rainfall event (48 hour dry period) and peak intensity (mm),,,,,,,,,,,,,,,,,,,,,,
,e_nnantopk,Number of no data (interpolated) hours between beginning of rainfall event (48 hour dry period) and peak intensity,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,inventory,src_index,inventory_id,inventory_id_name,lsidx,trigger,type,material,spat_unc,ID_HDC_G0,UC_NM_MN,date_local_midnight_utc,precip_source,Gauge ID,station_dist,tr_start,tr_tpk,tr_htopk,tr_cptopk,tr_nnantopk,e_start,e_htopk,e_cptopk,e_nnantopk
1200,NASA GLC,32,1559,event_id,32,Precipitation,Slide,Earth,<5km,140,Seattle,2010-03-12 08:00:00+00:00,GSDR,ISD_727937-24222,17624.9188896339,2010-03-12 05:00:00+00:00,2010-03-12 13:00:00+00:00,9,10.8,0,2010-03-10 09:00:00+00:00,53,22.3,1
1329,NASA GLC,64,3209,event_id,64,Precipitation,Slide,Earth,<5km,140,Seattle,2011-03-13 08:00:00+00:00,GSDR,US_452675,24966.8835867441,2011-03-13 14:00:00+00:00,2011-03-14 02:00:00+00:00,13,22.86,0,2011-03-07 19:00:00+00:00,152,68.58,0
520,NASA GLC,100,1650,event_id,100,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_15,6616.85815931046,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,129.6,0,2010-04-04 20:00:00+00:00,34,134.8,0
305,NASA GLC,130,1437,event_id,130,Precipitation,Slide,Earth,<1km,14,Los Angeles,2010-01-21 08:00:00+00:00,GSDR,US_CA_133,4210.33760640523,2010-01-21 18:00:00+00:00,2010-01-21 21:00:00+00:00,4,9.906,0,2010-01-17 23:00:00+00:00,95,117.602,0
559,NASA GLC,173,1715,event_id,173,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_15,7180.81197421732,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,129.6,0,2010-04-04 20:00:00+00:00,34,134.8,0
